"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",27801.1335563921,-0.0400129797900725,0.137402315192515,-0.291210375414782,0.770890427857288,0.938236471530559
"A1CF",15436.3103939733,-0.257729398746217,0.156378542817784,-1.6481122927877,0.0993296302179237,0.488821824022763
"A2M",101110.668421947,0.101721902717718,0.270916568387169,0.375473169925681,0.707308596592033,0.917154181948144
"A4GALT",34.5932835687907,0.231945733928226,0.26838505490874,0.864227458593384,0.387462950931615,0.766176406150502
"A4GNT",5.69505811702966,0.511721102061075,0.436897488864708,1.17126125716767,0.241493779245042,NA
"AAAS",1073.94259718853,0.0273968679410862,0.0973198556110069,0.281513651752558,0.778316458715106,0.941033669326517
"AACS",180.008028122172,0.155779610762177,0.113852553891047,1.36825750005795,0.171231488856905,0.587398455252601
"AADAC",13637.5100142302,-0.0277529436120431,0.103615136624467,-0.267846422020639,0.788817536176852,0.944334510450894
"AADAT",2342.98681246355,-0.203115455608304,0.146347987248235,-1.38789374167327,0.165169403834288,0.579886721890555
"AAED1",89.5897761020545,0.160880707553161,0.128685650370545,1.25018373913417,0.211232435471692,0.626635771773458
"AAGAB",688.137926576599,0.23798124641716,0.0815053008699845,2.91982538407879,0.00350227563773277,0.128696635055516
"AAK1",626.075937975384,0.0791879917343937,0.112905460846433,0.701365471082927,0.483074964688735,0.820074520610012
"AAMDC",446.828101855355,-0.0705702265667413,0.120200626194458,-0.587103651628024,0.557134095251448,0.855205372339267
"AAMP",2724.93014101168,-0.123301557218207,0.0881506975560753,-1.3987587238294,0.161885347802584,0.575466011906168
"AAR2",960.512193724493,0.0651148946133228,0.0756775356821953,0.860425673568047,0.389554438649756,0.767482460640644
"AARS",4037.99428715014,-0.0203139853441572,0.119783801298374,-0.169588751767498,0.865333569196121,0.966944252101225
"AARS2",519.58995139869,-0.0731264666319757,0.0773485251719186,-0.945415138419786,0.344446976552709,0.736576764945404
"AARSD1",59.5947896039316,0.0459590239871212,0.148946205210465,0.308561228009669,0.757655318071931,0.934322310179343
"AASDH",456.980469427934,-0.12478521277941,0.0930032548241322,-1.34172952350299,0.1796837106943,0.595680249590066
"AASDHPPT",940.463378965146,0.0571591836352583,0.0975370798468571,0.586025168325768,0.557858601723878,0.855380039137563
"AASS",7969.86969560861,-0.730746364107836,0.252267504776483,-2.89671222124031,0.0037709549406356,0.132938196619981
"AATF",676.441625214845,0.115506108719317,0.097734022805565,1.18184134248836,0.23726866014493,0.651201661411521
"AATK",23.8179329274534,0.0472770059302199,0.406857563708915,0.116200385951394,0.907493730880903,0.979752630935407
"AB007962",25.0073496294475,-0.313448221211676,0.29033833551261,-1.07959639796882,0.280321946157618,0.691096984067231
"AB073649",24.3821994752274,-0.758447250155652,0.391518744057148,-1.93719269298878,0.0527217931334599,0.390184145419036
"AB075489",10.6750112640886,1.15913676618597,0.485027719756042,2.38983612476621,0.01685589199944,0.259327388235353
"AB075492",16.3736738844085,-0.0918694025524863,0.33291892477576,-0.275951277369905,0.782585488690054,0.94214498615785
"AB209061",86.5015880290355,0.0360898070443569,0.148868058006337,0.242428144275386,0.808448428698946,0.951356954344983
"AB209621",17.7694989997822,-0.0128935915258273,0.332183097819295,-0.0388147127607357,0.969038114587511,0.99389903491308
"AB429224",13.2182357293538,-0.308793452915315,0.313311604144257,-0.985579368369448,0.3243395664105,0.723596180298876
"AB488780",42.7218726322138,0.126181300525426,0.170279702245598,0.741023732490629,0.458679050735228,0.808151126290089
"ABAT",29873.4481275812,-0.178420392271091,0.138204388509315,-1.29098933974202,0.19670737405539,0.611162876349546
"ABCA1",8586.98633314158,-0.00476508288276301,0.18580961351377,-0.0256449749431822,0.979540513035764,0.995634285193496
"ABCA10",483.736360314388,-0.11851304216022,0.275421227653883,-0.43029741450849,0.666979307624287,0.902431826557799
"ABCA11P",90.4844064564767,-0.0275780980659484,0.158062786691542,-0.174475590638338,0.861491712383978,0.966170535322269
"ABCA13",14.1270109773306,-0.922203982317576,0.513670480471126,-1.79532213233619,0.072602390767205,0.437697418310911
"ABCA2",1758.50799756821,-0.0342969887269968,0.126143208947905,-0.271889299575065,0.7857071391197,0.943543409829225
"ABCA3",106.12136156552,-0.0440341687054128,0.149418647565022,-0.294703301247929,0.768220541094238,0.937442381649871
"ABCA4",64.1631479329688,0.166022595858361,0.198274337558294,0.837337791178088,0.402402722525252,0.77391432736733
"ABCA5",2806.3157639844,0.0152007687821591,0.172739982754872,0.0879979755684584,0.929878285164214,0.985409997607176
"ABCA6",7682.72355180021,-0.153434836322135,0.153307173924938,-1.00083272291784,0.316907686516532,0.718014967577248
"ABCA7",202.664891333602,0.167109468684456,0.151923441206369,1.09995842219937,0.271350237935799,0.682660505976048
"ABCA8",4383.72588701044,-0.359481989210657,0.150680960012953,-2.38571607972073,0.0170459052844934,0.259327388235353
"ABCA9",1652.62689061752,-0.297952524584074,0.189438058467048,-1.57282294273461,0.115759821679406,0.515853079281476
"ABCB1",2127.66222655753,0.144731212333403,0.123675246891568,1.17025205909065,0.241899548393536,0.654277312558693
"ABCB10",898.120194166056,-0.00600311251192655,0.0897386008742677,-0.0668955438734495,0.946664860567675,0.989462416628809
"ABCB11",4735.12722533295,-0.336773909120388,0.189324145360329,-1.77882175820431,0.075268988809159,0.442186135953931
"ABCB4",6680.71721899704,0.144387115238462,0.174674458753063,0.826606913621991,0.408459897474699,0.777250933041236
"ABCB6",906.629951019068,-0.177747751552626,0.137261721069541,-1.2949549966853,0.195335754634788,0.611162876349546
"ABCB7",943.987394628625,0.0433264421272241,0.0737328278813849,0.587614002773961,0.556791409978437,0.855089755815956
"ABCB8",588.732567842622,-0.0237247135021434,0.143200086068943,-0.165675274040836,0.868412505569759,0.967894982159649
"ABCB9",28.5542262904603,-0.135840631732383,0.261959695693834,-0.518555464696933,0.604070772453784,0.875281908945058
"ABCC1",339.138222162967,0.130126050079732,0.150548888237504,0.864344144969353,0.387398866371565,0.766176406150502
"ABCC10",266.40622133152,-0.0623964558874366,0.131171534721892,-0.475685948325061,0.634298133174946,0.887319739902201
"ABCC11",274.113220670195,-0.158585915697011,0.197724317846735,-0.802055697670622,0.422520740331933,0.787131340966922
"ABCC13",6.24881710553983,-1.56560000916936,1.15769991202103,-1.35233664001602,0.176267648272996,NA
"ABCC2",11615.2427577153,-0.219234590565849,0.125525268274511,-1.74653751853695,0.0807175935535473,0.454592048806501
"ABCC3",8977.02565833572,-0.0280155823189049,0.121465684128636,-0.230646066993173,0.817589776059058,0.953291780532663
"ABCC4",163.43642136084,0.497026557068806,0.187624380337912,2.64905102510484,0.0080718143743881,0.185876806500724
"ABCC5",951.751153543301,0.0854258508578525,0.133142375410372,0.641612789275787,0.521124626917042,0.838897481124053
"ABCC6",7038.56794592313,-0.115825529400465,0.087480463843125,-1.32401594952869,0.18549774772015,0.602267003159595
"ABCC6P1",2101.10490472314,-0.108838594543515,0.136517771581645,-0.797248543413441,0.425306698392916,0.788183077329397
"ABCC6P2",100.32667571682,-0.0622416629719601,0.142294161689921,-0.437415437378193,0.661810090582316,0.900585692416097
"ABCC9",5603.00096471045,-0.21454966840866,0.143909460031645,-1.49086563427784,0.135996775523355,0.545336537668554
"ABCD1",227.52468989062,0.0934853195065126,0.129816706262044,0.7201331954749,0.471442990701297,0.814444678649754
"ABCD2",10.6736782153699,-0.167646154381082,0.360672173124485,-0.464815882325414,0.642063313071608,0.89057694774124
"ABCD3",4984.34500968638,-0.00455906344719502,0.118093052471482,-0.0386056872253004,0.969204767924645,0.99389903491308
"ABCD4",1776.390279336,-0.16360671963247,0.066541357925878,-2.45872228539001,0.0139432429768595,0.237560726636295
"ABCE1",1255.60905465215,0.0683591236283775,0.121368348605648,0.563236827506741,0.573273628526751,0.863020399575805
