"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AASS",7969.86969560861,-0.730746364107836,0.252267504776483,-2.89671222124031,0.0037709549406356,0.132938196619981
"ABCA8",4383.72588701044,-0.359481989210657,0.150680960012953,-2.38571607972073,0.0170459052844934,0.259327388235353
"ACADSB",29989.9158971116,-0.425911752572609,0.171305533806383,-2.48626966747024,0.0129090104400463,0.22802707247455
"ACOT11",28.3402084111892,-0.550240737209986,0.205427199055171,-2.67851939636392,0.00739484490835387,0.180715612516984
"ACOX2",11584.3454445908,-0.329310577865809,0.0826048364737194,-3.98657744417397,6.70332542873806e-05,0.0267014640926307
"ACSL5",9285.86328592399,-0.288707392079107,0.138141324017014,-2.08994226842323,0.0366229860174502,0.34013803549503
"ACSM2A",27012.5942785722,-0.294679517611324,0.102941850955389,-2.86258227219002,0.0042020415224388,0.141221439641761
"ACSM3",6551.08577541567,-0.368959769798703,0.13344028541496,-2.76498037044319,0.0056926221295226,0.162063670213161
"ACTR3C",318.745700297319,-0.295265589401478,0.127396488649065,-2.31769016974114,0.0204661656618377,0.274800566329813
"ACVR1C",155.903922818662,-0.682113505252483,0.222398680347741,-3.06707532700255,0.00216164375890673,0.105127395742702
"ACVR2B",587.344429995825,-0.434290272460237,0.143800129642214,-3.02009652940359,0.00252694135322718,0.110472008658631
"ACY3",468.240096561537,-0.433192527383196,0.180149139337721,-2.4046327891198,0.0161887236040926,0.254488578174773
"ADAMTS6",64.6980564394803,-0.492919947439647,0.250512706904896,-1.96764449009278,0.0491089569183267,0.380247467569824
"ADCK5",157.882211517112,-0.360998474360084,0.149995616645262,-2.40672682598347,0.0160962048982402,0.254194453260158
"ADCY10",456.419791141045,-0.596455293513599,0.189296487003641,-3.15090524369914,0.00162765286271854,0.0917998902895705
"ADHFE1",3094.63841726767,-0.274153755060998,0.137711698241516,-1.99078043885708,0.0465050308033284,0.370987893779657
"AF116693",242.863086214028,-0.508748911501199,0.191037217039657,-2.66308795419476,0.00774271731676374,0.183179330100127
"AF143870",417.522785023341,-0.301388287630264,0.123305743773942,-2.4442355919997,0.0145159439793464,0.243868521178859
"AF289551",483.594598917427,-0.387718438075829,0.157393308914932,-2.46337306680161,0.0137636620589225,0.236386623654665
"AF339817",412.020474657264,-0.353559746026715,0.178427295832277,-1.98153395968666,0.0475314248936364,0.373996791062842
"AF420437",18.1906677417589,-0.725272071553095,0.350939535487583,-2.06665820807401,0.0387663717718144,0.345705729731768
"AGBL4",46.8322129251824,-0.860943323009747,0.30984809252525,-2.77859810590762,0.00545940246096357,0.158942175760189
"AGPAT9",355.120698029852,-0.520392110544966,0.265170852185193,-1.96247855394577,0.0497067950591821,0.381822849946958
"AGXT",50478.8687931903,-0.477763708126132,0.138877779543526,-3.44017386868138,0.000581340594245707,0.0616890035455569
"AGXT2",4714.76963703479,-0.447618802753443,0.149792715077251,-2.98825481948569,0.00280575516859087,0.115931564559556
"AHCY",5751.45271298809,-0.268007314892976,0.110903539151245,-2.41658036293575,0.0156670674104414,0.250157656204895
"AK021933",17.5608772971151,-0.46773557418769,0.223584750846992,-2.09198334151053,0.0364400059037668,0.34011266011842
"AK022382",85.3286975970223,-0.333601167140898,0.161588791028309,-2.06450685730086,0.0389696844067806,0.346278564894563
"AK023566",59.3847623633198,-0.476549976685151,0.220500837409986,-2.16121617624101,0.0306786444267282,0.321108313017347
"AK024248",447.008548750817,-0.295834442542981,0.138403835180242,-2.13747286813056,0.0325595502029551,0.328763199036585
"AK054753",21.0601159581414,-0.624688501338383,0.247224231818079,-2.52680935337303,0.0115103966818464,0.216230858478078
"AK055656",9.97460832467126,-0.703629885342759,0.32253083646293,-2.1815894971755,0.0291398427176634,0.315063734470977
"AK056182",10.4107160154511,-0.606505203402287,0.29176339145524,-2.07875703794502,0.037639687497592,0.34203180545477
"AK056618",9.48788602696085,-1.05190134490073,0.29234214019271,-3.59818582503133,0.000320444639308073,0.0511967960555934
"AK057719",275.297116125498,-0.631262491609023,0.237647932964958,-2.65629279301202,0.00790049862331932,0.183999544920479
"AK090736",38.2160335657758,-0.432766539470524,0.175293720185179,-2.46880800415071,0.0135563931744324,0.234218851415194
"AK091996",924.295630183856,-0.531342070259664,0.176240390488361,-3.01487115857675,0.00257088440598352,0.111507878543578
"AK092331",485.7897571554,-0.492477737626536,0.241042475820146,-2.04311599418685,0.0410409569785697,0.352153089683025
"AK093256",16.3928607300347,-1.24858076348047,0.364701439519902,-3.42356960565914,0.00061804421441019,0.0616890035455569
"AK093551",93.8709742481263,-0.364858842311041,0.121662015773234,-2.99895443941273,0.00270907814348244,0.115094142972719
