"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AB075489",10.6750112640886,1.15913676618597,0.485027719756042,2.38983612476621,0.01685589199944,0.259327388235353
"ABCC4",163.43642136084,0.497026557068806,0.187624380337912,2.64905102510484,0.0080718143743881,0.185876806500724
"ACER3",239.448648124512,0.282810143792493,0.133490223404106,2.11858319344002,0.034125707309405,0.332752652197132
"ACLY",1333.96751997741,0.446956874306008,0.117218478902874,3.81302400858102,0.00013727677153318,0.0366861101215042
"ACR",18.6588204217078,0.520285184645029,0.230468843733551,2.25750767963474,0.0239763701658568,0.298659103706435
"ACSL3",1872.84303235102,0.372703166998601,0.157389397634353,2.36803223470277,0.0178829777462854,0.263380496247292
"ACTG1",12060.7939802944,0.396401049036351,0.155038749700185,2.55678693102798,0.0105643904349762,0.207887630780429
"ADAMTS10",223.014256199721,0.39146609466812,0.183558168501908,2.13265417640104,0.0329531055506708,0.329710148471657
"ADAMTS15",63.9520764208043,0.490608187494923,0.229268231760738,2.13988734386418,0.0323638721596198,0.328375381391758
"ADRA2A",47.5580572070401,0.839840489927963,0.371054297146782,2.26338974211027,0.0236116745322742,0.297476553932821
"AEBP1",925.631267332098,0.849658502283542,0.344323353672581,2.46761799111508,0.013601538682568,0.234754056699448
"AFAP1",194.449309689312,0.262614494447461,0.120963370711388,2.17102493840093,0.0299292872983106,0.318291631094807
"AGAP7",8.09772017926101,1.58923496351836,0.777999213517066,2.04272052709923,0.0410801116103811,0.352306609354247
"AHRR",27.3881640743548,0.941204031927617,0.349905250407066,2.68988256344441,0.00714771675901713,0.177717881882292
"AJ004954",13.8840925575994,1.08958569786649,0.456788701104188,2.38531665786095,0.0170644258665393,0.259327388235353
"AJUBA",1233.2853393354,0.422615763974915,0.171902042526527,2.45846854268588,0.013953099995302,0.237560726636295
"AK055981",483.885577817208,0.349641455973867,0.139002569224564,2.51535966510813,0.0118911006679665,0.219402724908171
"AK056098",5.43090878623763,1.07746292461417,0.436144223407704,2.47042805289424,0.0134951462204102,NA
"AK056252",109.594326596173,0.627130884145621,0.233745531088892,2.68296416716146,0.0072972808596588,0.179170511404534
"AK056490",19.4697628853309,1.47287844338494,0.481266560652007,3.06042132116871,0.00221025824506752,0.105127395742702
"AK095210",13.7526985581203,0.865492307014211,0.345544146615648,2.50472281325288,0.0122547390667126,0.223130518237759
"AK124484",33.3656583042918,0.449383474710184,0.16392738962545,2.74135686377341,0.00611860130632975,0.164018968809512
"AK125599",60.877231706956,1.06131301649284,0.45101560296498,2.353162528116,0.0186144959314621,0.264968713993466
"AK127026",15.5644478530992,1.66910530020437,0.719361177147817,2.32026046612937,0.0203267913663808,0.274074909229779
"AK128525",340.789649841826,1.12824892836153,0.457940904665614,2.46374350241844,0.013749446620009,0.236386623654665
"AK307192",94.105973708839,0.464045199761631,0.187047960895164,2.48088884551763,0.0131055233917815,0.230760273197054
"AK5",6.4177062718921,1.26911390982976,0.514761682463488,2.46543974243806,0.0136845190299176,NA
"AKIRIN1",892.214946476309,0.30987669580568,0.150589119682897,2.05776284806101,0.039612904033989,0.348195306313358
"AKR1B10",141.915848888987,1.29461733923691,0.627889211900802,2.06185631907534,0.0392214172728755,0.347147255766172
"AL832909",222.393393729614,0.285765222089713,0.117721698228742,2.42746431957217,0.0152047823702846,0.248204964623888
"ALOX15B",19.0665570593389,1.13196749793201,0.416168117059166,2.71997649875491,0.00652865561542152,0.169536909603609
"ALOX5AP",125.616477281744,0.605480242949622,0.177670333664063,3.40788600135382,0.000654682395340783,0.0634352784117043
"AMICA1",479.04757453351,0.416511630334297,0.158523568619066,2.62744293459088,0.00860292701009994,0.190602495428693
"AMIGO1",121.856986450855,0.436228817604067,0.194250038988212,2.24570774799453,0.0247227335762041,0.301494142598687
"AMPD1",24.1714995290991,0.99866190821895,0.433189643752754,2.30536884392588,0.0211459248741573,0.278753624203802
"ANGPT1",57.7231023792836,0.444329071713627,0.160046608498368,2.77624796852947,0.0054990250700891,0.159359788262878
"ANTXR1",494.420308834276,0.553025224213768,0.212707811430292,2.59992907874473,0.0093243028675353,0.197310822748649
"ANXA1",629.574546043078,0.478095033253579,0.156987537822926,3.04543303171521,0.00232345515031941,0.107323398073419
"ANXA13",326.399622069809,0.960692556036215,0.46177638890997,2.08042805805629,0.0374862879384044,0.341221682711517
"ANXA2",2594.78276862846,0.707345144273045,0.2345480996366,3.01577862011664,0.00256320326565964,0.111469068001876
"ANXA5",3273.60981246887,0.569030621827666,0.161966435076702,3.51326261862954,0.000442639738595269,0.0562297041394953
"ANXA6",7730.93110422798,0.325290947381109,0.161882248648642,2.0094293852264,0.0444916164885512,0.36440019456194
"AOAH",594.514284575953,0.33864683635261,0.169057637205219,2.00314426458905,0.0451618060031957,0.366268215206534
"AP5B1",408.824562733729,0.319050929125633,0.116364123266109,2.7418324494742,0.006109749821902,0.164018968809512
"APOL3",2366.8023109346,0.552184873732729,0.221724288675956,2.49041220080192,0.0127595017000057,0.226745323199591
"APOL4",111.823763323878,0.502349852112356,0.230632347124787,2.17814135083381,0.0293955148641701,0.315187518214651
"ARHGAP11A",58.784335584847,0.423163195071703,0.205395230260681,2.06023866539957,0.0393757302175769,0.347370673597911
"ARHGAP15",209.588061700317,0.274975354174647,0.129912955158861,2.1166122642534,0.034292768393666,0.332752652197132
"ARHGAP22",15.4947298579242,0.627423136342668,0.287716002894641,2.18070295023675,0.0292053946978348,0.315063734470977
"ARHGDIB",2352.80076001969,0.295890458262902,0.137453356008925,2.15266085059203,0.0313453424213428,0.324639397052111
"ARHGEF19",68.213234856327,0.625832899459692,0.227473354339302,2.75123607895716,0.00593708391848401,0.163986634567151
"ARHGEF25",169.80542677041,0.351878496518746,0.178781207052015,1.96820741016906,0.0490441780094339,0.380247467569824
"ARHGEF39",22.0662197745654,0.806743355185077,0.267199919400631,3.01924999451618,0.00253401337921244,0.110489651789923
"ARNTL2",114.651999388981,0.436649557285942,0.212781239361702,2.05210552676447,0.0401594079524912,0.348195306313358
"ARRB1",964.52043510156,0.337888676991485,0.15813117944003,2.1367618845822,0.0326173637238095,0.328763199036585
"ARRDC2",790.68478840218,0.658091845547742,0.13155329272464,5.00247338487544,5.65993981196186e-07,0.0013304909847612
"ARRDC4",1124.10621627574,0.576204711555361,0.181531464895259,3.17413133799049,0.00150285670455946,0.0891725231313982
"ARSF",55.0511767204788,0.668778664073138,0.334326894531622,2.00037351170946,0.0454599464418171,0.367356905884764
"ASF1B",29.4853483907707,0.622615932633766,0.229344640078917,2.71476121011385,0.00663235735094024,0.170904399607665
"ASIC1",14.3204424502595,0.642615948078326,0.286591076078564,2.24227480098565,0.02494361733095,0.301727037673074
"ASPN",676.446795879077,0.287503821173914,0.122048629100912,2.35564973807449,0.0184903431940097,0.264784964423799
"ATP1B3",287.209769218586,0.323136538462742,0.122319744328753,2.6417365425018,0.00824821884075291,0.187211969825253
"ATP8B3",54.6003504716536,0.43438080880127,0.169725349580504,2.55931603543545,0.0104878348590862,0.207614021242772
